user_id,frequency_14d,is_retained_3m,category_regularity_14d,temporal_regularity_14d
1,10,0,0.2,0.4
2,3,1,0.3333333333333333,0.5
3,5,1,0.4,0.30000000000000004
4,7,1,0.14285714285714285,0.3571428571428571
5,6,1,0.16666666666666666,0.5
6,4,1,0.25,0.5
7,6,1,0.16666666666666666,0.5
8,6,1,0.16666666666666666,0.5
9,5,1,0.2,0.5
10,5,1,0.2,0.5
11,5,1,0.2,0.5
12,6,1,0.16666666666666666,0.5
13,3,1,0.3333333333333333,0.5
14,8,1,0.125,0.5
15,2,1,0.5,0.5
16,5,1,0.2,0.5
17,4,1,0.25,0.5
18,6,1,0.16666666666666666,0.5
19,5,1,0.2,0.5
20,7,1,0.14285714285714285,0.5
22,1,0,1.0,0.5
23,8,1,0.125,0.5
24,3,1,0.3333333333333333,0.5
25,3,1,0.3333333333333333,0.5
26,6,1,0.16666666666666666,0.5
27,7,1,0.14285714285714285,0.5
28,4,1,0.25,0.5
29,3,1,0.6666666666666666,0.5
31,2,1,0.5,0.5
32,3,1,0.6666666666666666,0.5
33,2,1,1.0,0.5
34,1,1,1.0,0.5
35,7,1,0.42857142857142855,0.3571428571428571
36,1,1,1.0,0.5
37,1,1,1.0,0.5
38,1,1,1.0,0.5
39,2,1,0.5,0.5
40,2,1,1.0,0.0
41,1,1,1.0,0.5
42,1,1,1.0,0.5
43,1,0,1.0,0.5
45,9,1,0.4444444444444444,0.5
46,1,1,1.0,0.5
47,5,1,0.4,0.5
48,3,1,0.3333333333333333,0.5
49,2,1,0.5,0.5
50,9,1,0.1111111111111111,0.38888888888888884
51,1,1,1.0,0.5
52,6,1,0.3333333333333333,0.16666666666666663
53,5,1,0.2,0.5
54,6,1,0.5,0.16666666666666663
55,7,1,0.2857142857142857,0.5
56,6,1,0.16666666666666666,0.33333333333333337
57,3,1,1.0,0.5
58,1,1,1.0,0.5
59,2,1,0.5,0.5
60,1,1,1.0,0.5
61,7,1,0.2857142857142857,0.5
62,1,1,1.0,0.5
63,1,0,1.0,0.5
66,7,1,0.2857142857142857,0.2142857142857143
67,1,1,1.0,0.5
68,5,1,0.4,0.5
69,3,1,0.3333333333333333,0.16666666666666663
70,4,1,0.25,0.5
71,1,0,1.0,0.5
72,5,0,0.2,0.5
73,2,0,0.5,0.5
74,5,1,0.2,0.5
75,4,1,0.25,0.5
76,5,1,0.6,0.30000000000000004
79,5,1,0.4,0.5
80,6,1,0.3333333333333333,0.5
81,1,0,1.0,0.5
82,4,1,0.5,0.5
84,3,1,0.3333333333333333,0.5
85,2,1,1.0,0.5
86,4,1,0.25,0.25
87,1,1,1.0,0.5
88,1,1,1.0,0.5
89,1,1,1.0,0.5
90,7,1,0.14285714285714285,0.2142857142857143
91,2,1,0.5,0.5
92,1,1,1.0,0.5
93,5,0,0.2,0.5
95,2,1,0.5,0.0
96,3,1,0.6666666666666666,0.16666666666666663
101,3,1,0.3333333333333333,0.5
102,3,1,0.3333333333333333,0.5
103,10,1,0.3,0.5
105,4,1,0.5,0.5
109,8,1,0.25,0.5
110,3,1,0.3333333333333333,0.16666666666666663
111,1,1,1.0,0.5
114,2,1,0.5,0.5
116,1,1,1.0,0.5
117,2,1,0.5,0.5
118,12,1,0.08333333333333333,0.33333333333333337
119,1,1,1.0,0.5
124,5,1,0.4,0.5
125,1,0,1.0,0.5
127,1,1,1.0,0.5
128,1,0,1.0,0.5
130,2,1,0.5,0.5
131,1,1,1.0,0.5
134,2,1,0.5,0.5
135,2,1,0.5,0.5
137,1,0,1.0,0.5
138,3,0,0.6666666666666666,0.5
139,5,1,0.2,0.5
140,3,1,0.3333333333333333,0.5
145,4,1,0.5,0.25
146,4,0,0.25,0.5
147,1,1,1.0,0.5
149,3,1,0.3333333333333333,0.16666666666666663
