user_id,frequency_14d,is_retained_3m,category_regularity_14d,temporal_regularity_14d
2,4,0,0.25,0.5
3,1,1,1.0,0.5
6,5,1,0.2,0.5
9,8,1,0.25,0.5
10,3,1,0.6666666666666666,0.16666666666666663
15,1,0,1.0,0.5
23,1,1,1.0,0.5
24,1,1,1.0,0.5
27,2,1,0.5,0.5
29,1,0,1.0,0.5
32,1,0,1.0,0.5
34,1,0,1.0,0.5
35,5,1,0.2,0.5
36,1,0,1.0,0.5
47,3,0,0.3333333333333333,0.5
50,3,1,0.3333333333333333,0.5
52,1,0,1.0,0.5
57,1,0,1.0,0.5
66,6,1,0.3333333333333333,0.0
67,1,1,1.0,0.5
68,3,1,0.6666666666666666,0.16666666666666663
75,2,1,1.0,0.0
76,5,1,0.2,0.5
79,2,0,0.5,0.5
82,1,1,1.0,0.5
86,2,1,0.5,0.0
90,1,0,1.0,0.5
91,1,1,1.0,0.5
95,1,0,1.0,0.5
96,1,1,1.0,0.5
105,5,1,0.6,0.30000000000000004
109,1,1,1.0,0.5
110,1,0,1.0,0.5
114,1,0,1.0,0.5
149,1,1,1.0,0.5
177,8,0,0.625,0.25
179,3,1,0.3333333333333333,0.5
185,1,1,1.0,0.5
193,3,1,0.3333333333333333,0.5
197,1,0,1.0,0.5
201,3,1,0.3333333333333333,0.5
205,1,1,1.0,0.5
207,7,1,0.42857142857142855,0.3571428571428571
220,2,1,0.5,0.5
225,8,1,0.375,0.25
226,1,1,1.0,0.5
229,4,1,0.5,0.0
239,2,1,0.5,0.5
255,3,1,0.3333333333333333,0.5
259,1,0,1.0,0.5
263,3,0,0.3333333333333333,0.16666666666666663
264,2,1,0.5,0.0
272,1,0,1.0,0.5
280,1,1,1.0,0.5
286,3,1,0.6666666666666666,0.16666666666666669
302,1,0,1.0,0.5
304,4,1,0.25,0.5
305,4,1,0.25,0.25
308,3,1,0.3333333333333333,0.5
311,1,0,1.0,0.5
316,5,1,0.2,0.5
320,2,1,0.5,0.5
326,4,0,0.5,0.25
329,5,1,0.2,0.5
330,4,0,0.25,0.5
338,7,1,0.14285714285714285,0.0714285714285714
339,2,0,0.5,0.5
352,5,1,0.4,0.3
355,1,0,1.0,0.5
360,1,0,1.0,0.5
370,2,1,0.5,0.5
371,5,1,0.2,0.3
380,1,0,1.0,0.5
383,4,1,0.25,0.5
387,1,0,1.0,0.5
393,2,1,0.5,0.5
398,1,0,1.0,0.5
400,3,0,0.6666666666666666,0.16666666666666663
404,12,0,0.4166666666666667,0.33333333333333337
418,1,0,1.0,0.5
420,3,1,0.6666666666666666,0.16666666666666663
423,1,0,1.0,0.5
429,3,1,1.0,0.16666666666666669
430,6,1,0.3333333333333333,0.33333333333333337
432,2,1,0.5,0.5
492,1,0,1.0,0.5
495,1,1,1.0,0.5
500,1,0,1.0,0.5
510,2,1,1.0,0.5
523,2,1,1.0,0.5
534,1,1,1.0,0.5
561,3,1,0.3333333333333333,0.16666666666666663
562,1,1,1.0,0.5
568,4,0,0.5,0.5
578,6,1,0.3333333333333333,0.16666666666666663
583,2,1,0.5,0.5
584,2,1,0.5,0.5
585,1,0,1.0,0.5
587,1,0,1.0,0.5
590,6,1,0.3333333333333333,0.16666666666666663
595,13,1,0.23076923076923078,0.34615384615384615
599,1,0,1.0,0.5
602,2,1,0.5,0.0
603,1,0,1.0,0.5
604,2,1,0.5,0.5
672,1,1,1.0,0.5
673,1,0,1.0,0.5
674,1,0,1.0,0.5
679,1,0,1.0,0.5
684,1,1,1.0,0.5
700,1,0,1.0,0.5
720,1,0,1.0,0.5
726,2,1,0.5,0.5
751,1,1,1.0,0.5
764,1,1,1.0,0.5
780,1,0,1.0,0.5
810,2,1,1.0,0.5
827,4,1,0.25,0.5
840,1,1,1.0,0.5
856,3,1,0.3333333333333333,0.5
859,1,1,1.0,0.5
860,1,1,1.0,0.5
862,1,0,1.0,0.5
864,1,0,1.0,0.5
884,2,0,0.5,0.5
903,3,0,0.3333333333333333,0.5
904,2,1,0.5,0.5
920,1,1,1.0,0.5
921,1,1,1.0,0.5
923,7,1,0.5714285714285714,0.2142857142857143
932,4,1,0.5,0.0
956,1,1,1.0,0.5
993,6,1,0.16666666666666666,0.33333333333333337
994,6,1,0.16666666666666666,0.16666666666666663
995,5,1,0.4,0.5
996,5,1,0.6,0.5
1027,1,0,1.0,0.5
1034,1,0,1.0,0.5
1051,1,1,1.0,0.5
1062,1,1,1.0,0.5
1091,2,1,0.5,0.5
1095,1,0,1.0,0.5
1165,1,1,1.0,0.5
1192,4,1,0.5,0.25
1214,1,0,1.0,0.5
1295,1,0,1.0,0.5
1300,14,0,0.21428571428571427,0.2857142857142857
1305,2,0,0.5,0.5
1308,5,0,0.4,0.30000000000000004
1331,1,1,1.0,0.5
1349,2,1,0.5,0.5
1359,7,1,0.42857142857142855,0.3571428571428571
1378,1,1,1.0,0.5
1382,2,0,0.5,0.5
1391,2,1,1.0,0.0
