leader_user_id,total_events,first_led_date,last_led_date,tenure_days,events_per_month,consistency_std,avg_gap_days
3,375,2019-06-18 06:00:00,2025-03-08 10:00:00,2090,5.461722488038277,13.766011759658829,5.58868092691622
5,9,2019-06-24 06:00:00,2019-09-02 06:00:00,70,3.9137142857142857,7.977647343851265,8.75
6,488,2019-08-01 06:00:00,2025-03-10 19:00:00,2048,7.25328125,4.42817001668963,4.20645106091718
9,108,2019-10-29 06:00:00,2024-10-30 06:00:00,1828,1.7984245076586434,38.368576985072316,17.08411214953271
13,85,2019-07-04 06:00:00,2021-04-15 21:00:00,651,3.9745007680491553,8.35893666143416,7.757440476190476
28,57,2019-06-25 06:00:00,2022-07-22 06:00:00,1123,1.545040071237756,39.58236314742914,20.053571428571427
31,20,2019-06-18 05:15:00,2020-06-10 06:00:00,358,1.7005586592178772,61.12888827606211,18.84375
32,5,2020-04-05 12:00:00,2020-04-24 23:00:00,19,8.010526315789473,8.404117776533825,4.864583333333333
34,174,2019-06-24 06:15:00,2025-01-21 06:00:00,2037,2.600176730486009,83.21768079727666,11.780286608863198
35,490,2019-06-17 06:00:00,2025-03-22 10:00:00,2105,7.085795724465559,5.5938992715670075,4.305044308111793
36,28,2019-06-18 06:00:00,2020-01-21 06:00:00,217,3.927741935483871,7.546490769914739,8.037037037037036
42,72,2019-06-19 06:15:00,2020-08-08 10:00:00,416,5.268461538461539,11.466700277994436,5.861355633802817
45,29,2019-06-17 05:45:00,2020-01-06 06:00:00,203,4.348571428571429,4.292931818570979,7.250372023809525
46,107,2019-07-17 18:45:00,2021-06-03 06:00:00,686,4.747930029154519,21.53790311520009,6.476120283018868
49,23,2020-03-30 06:00:00,2020-12-08 06:00:00,253,2.7672727272727276,16.145188799219223,11.5
50,137,2019-06-17 06:00:00,2023-09-08 06:00:00,1544,2.700958549222798,37.714086361555196,11.352941176470589
55,32,2019-06-18 06:00:00,2019-12-31 06:00:00,196,4.969795918367347,5.769456770432789,6.322580645161289
57,6,2019-08-21 19:00:00,2020-11-28 07:50:00,464,0.39362068965517244,172.74304003350017,92.90694444444445
66,468,2019-06-20 05:45:00,2025-03-09 06:30:00,2089,6.819492580181906,6.987304399455503,4.473300321199144
76,146,2019-07-11 19:30:00,2023-04-13 09:20:00,1371,3.241604668125456,16.55409959907028,9.459147509578544
91,97,2019-10-24 06:00:00,2022-07-07 12:15:00,987,2.9915704154002025,29.03994686636602,10.283962673611112
92,117,2020-04-07 17:00:00,2022-10-15 08:00:00,920,3.8711739130434784,17.6979594176424,7.936422413793103
95,36,2020-04-05 09:00:00,2020-09-06 12:15:00,154,7.115844155844155,3.5854604644238903,4.4038690476190485
101,89,2019-09-05 05:00:00,2021-02-09 06:00:00,523,5.180038240917782,6.905239945704948,5.943655303030304
103,34,2019-06-20 19:30:00,2020-07-29 19:00:00,404,2.561782178217822,30.91298478898938,12.27209595959596
105,309,2019-06-19 06:00:00,2024-04-15 06:00:00,1762,5.338229284903519,12.882761193926564,5.720779220779221
139,76,2019-06-18 06:00:00,2021-06-16 19:30:00,729,3.173443072702332,29.00856145529133,9.7275
140,9,2020-05-19 07:00:00,2020-08-12 06:30:00,84,3.2614285714285716,10.254103160902206,10.622395833333332
149,47,2019-06-26 06:00:00,2021-11-19 06:30:00,877,1.6313340935005702,31.43670620865139,19.065670289855074
196,12,2019-11-05 06:00:00,2020-12-15 06:00:00,406,0.899704433497537,54.76943407678145,36.90909090909091
214,26,2020-05-11 06:30:00,2021-03-22 19:00:00,315,2.512507936507937,36.04187991667805,12.620833333333335
223,1,2019-07-18 06:00:00,2019-07-18 06:00:00,1,30.439999999999998,,
224,72,2019-07-09 19:30:00,2021-09-21 19:30:00,805,2.722583850931677,9.493649234714109,11.338028169014084
225,408,2019-06-22 06:00:00,2025-03-13 19:30:00,2091,5.939512195121951,8.222165923369474,5.138974201474201
226,185,2019-06-17 20:00:00,2024-04-25 07:55:00,1773,3.17619853355894,19.80898343840231,9.638568085748792
228,1,2020-04-25 14:00:00,2020-04-25 14:00:00,1,30.439999999999998,,
230,102,2019-06-19 19:30:00,2022-03-06 15:00:00,990,3.1362424242424245,15.459345636533193,9.810024752475249
231,17,2019-06-19 06:00:00,2020-06-15 19:00:00,362,1.4295027624309393,61.301227573560574,22.658854166666664
236,36,2020-04-20 18:00:00,2021-02-19 03:00:00,304,3.6047368421052632,16.7488547110786,8.696428571428571
239,147,2019-06-17 19:30:00,2025-03-02 07:00:00,2084,2.1471593090211134,30.89504743260013,14.277254566210047
245,36,2019-09-16 19:00:00,2019-12-24 19:00:00,99,11.06909090909091,2.6132102075229517,2.8285714285714287
255,229,2019-07-19 06:00:00,2023-11-03 06:00:00,1568,4.445637755102041,8.719838875519162,6.87719298245614
264,18,2020-07-12 12:30:00,2021-02-21 12:15:00,223,2.4570403587443947,9.194708737105946,13.175857843137253
265,121,2019-06-19 19:30:00,2022-09-03 08:00:00,1171,3.1453800170794195,16.88736182006247,9.762673611111113
278,406,2018-12-06 19:00:00,2021-06-30 19:00:00,937,13.189583778014942,6.629486805527963,2.31358024691358
286,214,2020-05-13 06:00:00,2025-03-01 06:30:00,1753,3.7160068454078727,23.334975892126725,8.230144757433491
300,11,2019-06-18 06:00:00,2019-07-31 06:00:00,43,7.786976744186046,2.964866286827356,4.3
303,14,2019-07-16 06:00:00,2019-12-16 06:00:00,153,2.785359477124183,11.896454977245996,11.76923076923077
304,193,2020-05-11 06:00:00,2025-03-03 06:00:00,1757,3.3437222538417757,15.786726642805371,9.151041666666666
308,214,2019-10-02 06:00:00,2025-02-27 19:30:00,1975,3.298308860759494,18.795415479896217,9.27494131455399
315,3,2020-09-02 19:00:00,2020-09-23 19:00:00,21,4.348571428571429,4.949747468305833,10.5
316,255,2019-09-06 06:00:00,2025-03-10 06:00:00,2012,3.8579522862823064,17.800034793218064,7.921259842519685
326,11,2019-07-17 19:00:00,2019-12-18 19:00:00,154,2.1742857142857144,16.416839395594412,15.4
329,267,2019-07-23 06:00:00,2023-12-20 06:00:00,1611,5.044990689013035,18.01622154905428,6.056390977443609
330,1,2020-05-16 07:00:00,2020-05-16 07:00:00,1,30.439999999999998,,
335,42,2019-08-29 05:00:00,2021-03-02 06:00:00,551,2.320290381125227,14.296453057095608,13.440040650406504
350,3,2019-08-19 19:00:00,2019-08-28 19:00:00,9,10.146666666666667,3.5355339059327378,4.5
352,88,2019-06-19 05:00:00,2024-01-01 06:30:00,1657,1.6166083283041643,48.50946716830786,19.046695402298848
357,16,2019-06-18 19:30:00,2019-08-12 19:00:00,54,9.01925925925926,3.244839716898169,3.6652777777777783
365,15,2019-08-31 07:00:00,2020-01-25 09:00:00,147,3.1061224489795918,7.116965914692252,10.505952380952381
380,1,2019-08-12 18:45:00,2019-08-12 18:45:00,1,30.439999999999998,,
398,24,2024-07-10 06:00:00,2024-12-25 06:00:00,168,4.348571428571429,6.306558294546058,7.304347826086956
423,44,2019-10-20 06:50:00,2022-09-03 08:00:00,1049,1.2767969494756912,60.07191887152774,24.396479328165373
430,30,2019-12-29 07:00:00,2024-07-06 07:00:00,1651,0.5531193216232587,273.9259896885796,56.93103448275862
450,55,2019-06-23 08:30:00,2020-11-09 06:00:00,504,3.3218253968253966,12.71391540181713,9.349922839506172
451,82,2019-06-19 05:45:00,2020-12-28 06:00:00,558,4.47326164874552,10.25066758185707,6.889017489711935
455,103,2019-06-19 19:00:00,2022-07-30 06:00:00,1136,2.759964788732394,36.058288800674795,11.141748366013074
486,26,2019-06-25 19:30:00,2020-01-21 19:30:00,210,3.768761904761905,8.108637370113428,8.4
492,62,2019-06-23 17:50:00,2021-01-23 08:00:00,579,3.259550949913644,22.405905864236328,9.501479963570128
500,62,2020-01-12 07:30:00,2025-03-06 06:30:00,1879,1.004406599254923,78.4707312611233,30.81898907103825
525,10,2020-05-27 19:00:00,2020-07-08 19:00:00,42,7.247619047619048,2.172301700023716,4.666666666666667
534,517,2019-08-04 06:00:00,2025-03-11 19:30:00,2046,7.691827956989248,7.430598042335711,3.9662063953488373
536,42,2020-04-24 19:20:00,2021-04-30 19:20:00,371,3.446037735849057,5.666546560504821,9.048780487804878
561,113,2022-11-16 06:00:00,2025-03-08 07:00:00,843,4.0803321470937135,4.193284059510921,7.527157738095239
571,2,2019-09-26 19:00:00,2019-10-01 06:00:00,4,15.219999999999999,,4.458333333333333
577,5,2019-06-20 18:30:00,2019-08-05 18:45:00,46,3.3086956521739133,9.042148184662912,11.502604166666668
584,275,2020-10-11 06:30:00,2025-03-11 06:00:00,1611,5.196151458721292,7.935272874091024,5.883135644768856
587,51,2019-06-19 19:30:00,2022-07-31 07:00:00,1137,1.365382585751979,42.22581079203889,22.74958333333333
595,492,2019-06-16 19:00:00,2025-03-09 08:00:00,2092,7.1589292543021035,5.729561050029496,4.261795655125595
673,4,2020-05-16 17:50:00,2020-06-13 17:50:00,28,4.348571428571429,4.041451884327381,9.333333333333334
684,21,2019-06-18 19:15:00,2023-04-15 10:30:00,1396,0.4579083094555874,139.96750203093734,69.83177083333332
822,88,2020-04-03 17:00:00,2021-09-15 18:00:00,530,5.054188679245283,11.059455490612708,6.09243295019157
827,17,2021-10-31 07:00:00,2022-10-02 07:30:00,336,1.5401190476190476,24.140417339991416,21.001302083333332
836,163,2019-07-03 06:00:00,2022-11-16 06:00:00,1232,4.02737012987013,7.651586042398543,7.604938271604938
856,34,2021-06-21 06:00:00,2024-11-23 07:30:00,1251,0.8273061550759393,164.96340257211833,37.91098484848486
884,81,2019-07-03 19:30:00,2020-08-03 19:00:00,396,6.2263636363636365,9.621612348871231,4.962239583333334
903,126,2019-06-10 06:15:00,2021-08-23 06:00:00,804,4.77044776119403,10.944404371461237,6.439916666666666
906,6,2020-05-22 09:00:00,2020-06-26 09:00:00,35,5.218285714285714,0.0,7.0
914,64,2019-06-23 07:30:00,2020-12-19 14:30:00,545,3.5746055045871565,18.539523490293796,8.65542328042328
921,25,2019-10-04 19:00:00,2020-06-28 06:30:00,267,2.850187265917603,26.989768340562772,11.144965277777779
935,10,2019-06-23 06:30:00,2019-07-29 06:00:00,35,8.697142857142858,2.918176589159226,3.9976851851851856
981,3,2019-06-21 05:30:00,2019-10-13 07:30:00,114,0.8010526315789475,76.42645793324601,57.041666666666664
984,34,2019-06-20 05:30:00,2020-06-21 07:30:00,367,2.8200544959128067,15.830306504983387,11.123737373737374
993,181,2019-06-18 05:30:00,2025-03-06 05:30:00,2088,2.6387164750957854,12.926149392035285,11.6
994,147,2019-06-18 05:30:00,2025-03-08 07:30:00,2090,2.140995215311005,20.885953638791182,14.315639269406391
996,221,2019-06-24 20:00:00,2025-03-08 10:00:00,2083,3.229591934709554,15.41626238094371,9.470833333333331
1062,16,2020-04-29 20:00:00,2020-10-16 07:00:00,169,2.88189349112426,7.801716632088569,11.29722222222222
1072,59,2019-09-23 19:30:00,2022-03-23 06:00:00,911,1.9714160263446763,29.272624216462464,15.714439655172415
1091,294,2019-06-18 06:00:00,2023-09-16 08:30:00,1551,5.770058027079304,11.364623424505064,5.29387087599545
1095,8,2020-06-23 20:30:00,2020-08-25 20:30:00,63,3.865396825396825,3.415650255319866,9.0
1176,15,2019-09-23 07:00:00,2019-11-22 07:00:00,60,7.61,4.195759240518408,4.285714285714286
1190,7,2019-08-06 06:00:00,2020-05-27 06:00:00,295,0.7223050847457628,74.83219357479807,49.166666666666664
1305,20,2021-08-11 06:00:00,2024-12-11 12:50:00,1218,0.4998357963875205,218.9329848769648,64.12024853801171
1351,3,2019-09-23 19:00:00,2019-10-28 19:00:00,35,2.609142857142857,2.1213203435596424,17.5
1359,267,2020-07-21 06:00:00,2025-03-07 06:00:00,1690,4.80915976331361,8.99357424275531,6.353383458646617
1411,718,2019-06-17 20:00:00,2025-03-05 20:00:00,2088,10.467394636015326,4.96804414367238,2.912133891213389
1439,1,2019-08-29 06:00:00,2019-08-29 06:00:00,1,30.439999999999998,,
1440,30,2020-04-12 07:55:00,2021-08-01 07:55:00,476,1.9184873949579833,14.156995581322423,16.413793103448278
1452,16,2020-07-04 07:00:00,2021-09-21 07:00:00,444,1.096936936936937,44.229531294058084,29.6
1468,90,2022-04-14 16:30:00,2023-09-19 18:00:00,523,5.238240917782027,9.613242320946764,5.877106741573034
1469,67,2019-07-16 06:00:00,2021-06-30 19:15:00,715,2.8524195804195807,18.36515805852157,10.841698232323234
1491,13,2022-08-18 06:30:00,2023-02-16 07:00:00,182,2.1742857142857144,10.268708514356605,15.168402777777777
1497,188,2019-06-20 06:00:00,2024-05-17 06:00:00,1793,3.1917010596765203,17.713679769137595,9.588235294117647
