leader_user_id,total_events,first_led_date,last_led_date,tenure_days,events_per_month,consistency_std,avg_gap_days
3,67,2023-06-10 08:00:00,2025-03-08 10:00:00,637,3.201695447409733,18.2214266905706,9.652777777777779
6,182,2023-01-04 07:00:00,2025-03-10 19:00:00,796,6.959899497487437,3.126581279214146,4.400552486187845
9,43,2023-02-13 06:00:00,2024-10-30 06:00:00,625,2.094272,35.70366211042276,14.880952380952378
34,28,2024-04-16 06:00:00,2025-01-21 06:00:00,280,3.044,7.549370828815383,10.37037037037037
35,184,2023-01-31 05:50:00,2025-03-22 10:00:00,781,7.1715236875800255,4.951370586771033,4.2687082574377655
50,5,2023-04-14 06:00:00,2023-09-08 06:00:00,147,1.0353741496598639,26.26970710864653,36.75
66,224,2023-01-01 07:00:00,2025-03-09 06:30:00,797,8.555282308657466,2.5097728790492453,3.5783819133034376
76,5,2023-01-06 19:30:00,2023-04-13 09:20:00,96,1.5854166666666667,25.301875580471506,24.14409722222222
105,31,2023-02-15 18:50:00,2024-04-15 06:00:00,424,2.2255660377358493,30.765493019859438,14.148842592592592
225,133,2023-01-02 07:30:00,2025-03-13 19:30:00,801,5.054332084893883,7.10086812706243,6.071969696969696
226,57,2023-03-09 07:55:00,2024-04-25 07:55:00,413,4.2011622276029055,1.590454480500921,7.375
239,57,2023-02-05 07:00:00,2025-03-02 07:00:00,756,2.2950793650793653,13.214737252543458,13.5
255,41,2023-01-06 06:00:00,2023-11-03 06:00:00,301,4.146312292358805,8.604814408151624,7.525
286,34,2023-02-04 06:00:00,2025-03-01 06:30:00,756,1.368994708994709,53.26971328546479,22.90972222222222
304,64,2023-01-30 06:00:00,2025-03-03 06:00:00,763,2.553289646133683,16.166923780733885,12.11111111111111
308,53,2023-03-02 19:30:00,2025-02-27 19:30:00,728,2.216098901098901,20.88530771694237,14.0
316,161,2023-01-02 06:00:00,2025-03-10 06:00:00,798,6.14140350877193,4.732795896284221,4.9875
329,72,2023-01-03 06:00:00,2023-12-20 06:00:00,351,6.2441025641025645,7.85033875019076,4.943661971830986
352,8,2023-01-07 06:00:00,2024-01-01 06:30:00,359,0.6783286908077996,83.15202013906621,51.28869047619048
398,24,2024-07-10 06:00:00,2024-12-25 06:00:00,168,4.348571428571429,6.306558294546058,7.304347826086956
430,29,2024-01-18 06:00:00,2024-07-06 07:00:00,170,5.192705882352941,5.1476105293157755,6.072916666666666
500,16,2024-04-11 06:00:00,2025-03-06 06:30:00,329,1.4803647416413375,31.289806855622633,21.93472222222222
534,275,2023-01-07 06:30:00,2025-03-11 19:30:00,794,10.542821158690177,3.602036052977689,2.899787104622871
561,108,2023-01-04 06:30:00,2025-03-08 07:00:00,794,4.1404534005037785,4.083981755701846,7.420755451713395
584,139,2023-01-10 06:00:00,2025-03-11 06:00:00,791,5.349127686472819,3.996883627755939,5.731884057971015
595,124,2023-01-01 07:30:00,2025-03-09 08:00:00,798,4.730025062656641,7.405970577519986,6.4879742547425465
684,5,2023-04-10 18:20:00,2023-04-15 10:30:00,4,38.05,0.6695329250348794,1.168402777777778
856,4,2024-08-31 06:30:00,2024-11-23 07:30:00,84,1.4495238095238097,36.39712322016266,28.01388888888889
993,53,2023-01-19 05:30:00,2025-03-06 05:30:00,777,2.076344916344916,10.82919149659465,14.942307692307692
994,28,2023-01-24 07:30:00,2025-03-08 07:30:00,774,1.1011886304909562,31.985369606381568,28.666666666666668
996,90,2023-01-12 05:30:00,2025-03-08 10:00:00,786,3.485496183206107,9.87371232857631,8.833567415730338
1091,16,2023-02-11 08:30:00,2023-09-16 08:30:00,217,2.2444239631336407,13.309025564852243,14.466666666666667
1305,12,2024-07-13 07:00:00,2024-12-11 12:50:00,151,2.419072847682119,25.810116593724448,13.749368686868685
